code
AGHOL
AKBNK
AKCNS
AKSGY
AKSA
AKSEN
AKGRT
ALGYO
ALARK
ALBRK
ALCTL
ALKIM
AEFES
ARCLK
ASELS
AYGAZ
BAGFS
BERA
BIMAS
BIZIM
BRSAN
BRISA
BUCIM
CCOLA
CEMTS
CIMSA
DEVA
DOHOL
DOAS
EGEEN
EGGUB
ECILC
EKGYO
ENJSA
ENKAI
EREGL
FROTO
GOODY
GOZDE
GSDHO
GUBRF
SAHOL
HLGYO
HEKTS
IHLGM
INDES
IPEKE
ISDMR
ISFIN
ISGYO
ISMEN
KRDMD
KARSN
KARTN
KERVT
KCHOL
KONYA
KORDS
KOZAL
KOZAA
LOGO
MAVI
MGROS
MPARK
NTHOL
NETAS
ODAS
OTKAR
OYAKC
OZKGY
PGSUS
PETKM
PNSUT
SASA
SELEC
SKBNK
SOKM
TATGD
TAVHL
TKFEN
TOASO
TRGYO
TCELL
TUPRS
THYAO
TTKOM
TTRAK
GARAN
HALKB
ISCTR
TSKB
TURSG
SISE
VAKBN
ULKER
VERUS
VESTL
YKBNK
YATAS
ZOREN
