code
USDTR
AVOD
ACSEL
ADEL
ADESE
AFYON
AKBNK
AKCNS
AKGUV
AKENR
AKFGY
AKFEN
ATEKS
AKSGY
AKMGY
AKSA
AKSEN
AKSEL
AKGRT
AKSUE
AKPAZ
ALCAR
ALGYO
ALARK
ALBRK
ALCTL
ALKIM
ALKA
ALYAG
AYCES
ANSGR
ANACM
AEFES
ANHYT
ASUZU
ANELE
ANELT
ANSA
ARTOG
ARBUL
ARCLK
ARENA
ARMDA
ARSAN
ARTI
ASELS
ASCEL
ASLAN
ASYAB
ATAGY
ATAC
AGYO
ATPET
ATSYH
ATLAS
AVIVA
AVGYO
AVTUR
AYEN
AYES
AYGAZ
BAGFS
BAKAB
BALAT
BANVT
BASCM
BTCIM
BSOKE
BRKSN
BJKAS
BLCYT
BIMAS
BMEKS
BRKO
BRMEN
BISAS
BIZIM
BOLUC
BRSAN
BRYAT
BFREN
BOSSA
BRISA
BURCE
BURVA
BUCIM
CLKHO
CCOLA
COMDO
COSMO
CRDFA
CLEBI
CELHA
CEMAS
CEMTS
CIMSA
DARDL
DGATE
DMSAS
DENCM
DERIM
DESA
DESPC
DEVA
DIRIT
DITAS
DOCO
DOBUR
DOHOL
DGKLB
DOGUB
DGGYO
DOAS
DJIST
DURDO
DYOBY
ECYAP
EDIP
EGEEN
EGGUB
EGPRO
EGSER
EPLAS
EKIZ
EMKEL
EMNIS
EKGYO
ENKAI
ERBOS
EREGL
ERICO
ERSU
ESCOM
ESEMS
EVKUR
FVORI
FMIZP
FENER
FENIS
FONFK
FFKRL
FLAP
FROTO
FRIGO
FBIST
GSRAY
GARFA
GRNYO
GDKGS
GEDZA
GENTS
GEREL
GEDIZ
GOODY
GOLTS
GOZDE
GUBRF
GLRYH
GUSGR
SAHOL
HLGYO
HALKS
HATEK
HZNDR
HEKTS
HURGZ
IDAS
IDGYO
IHEVA
IHGZT
IHLAS
IHMAD
IHYAY
INDES
INFO
INTEM
IPEKE
GLDTR
GMSTR
ISFIN
ISGYO
ISGSY
ISBIR
ITTFH
IZMDC
IZOCM
JANTS
KPHOL
KAPLM
KRATL
KAREL
KARSN
KRTEK
KRSAN
KARTN
KATMR
KENT
KERVT
KERVN
KILER
KLGYO
KLMSN
KCHOL
KOMHL
KNFRT
KONYA
KORDS
KRGYO
KRSTL
KRONT
KSTUR
KUYAS
KUTPO
LATEK
LINK
LOGO
LKMNH
LUKSK
MAKTK
MANGO
MRDIN
MAALT
MRSHL
MZHLD
MNDRS
MEMSA
MEPET
MERIT
MERKO
MRTGG
METAL
METUR
METRO
MGROS
MIPAZ
MMCAS
TIRE
NTHOL
NTTUR
NETAS
NIBAS
NUHCM
NUGYO
OTKAR
PRKME
PARSN
PENGD
PETKM
PTOFS
PETUN
RAYSG
RYGYO
RYSAS
SARKY
SKBNK
TAVHL
TEBNK
TKSTL
KIPA
TIRE
TOASO
TSPOR
TRCAM
TRNSK
TSKB
TBORG
TCELL
TUPRS
THYAO
TTRAK
ULKER
UNYEC
VAKFN
VKBYO
VAKBN
VAKKO
VESTL
VESBE
VKNG
YKSGR
YKBYO
YKBNK
YATAS
YAZIC
YUNSA
ZOREN
ADANA
ADBGR
ADNAC
ALNTF
ARFYO
DJIMT
KTLME
BOYNR
BOYP
CARFA
CARFB
CMENT
CMBTN
DAGI
DAGHL
DENİZ
DZGYO
DYHOL
DGZTE
ECILC
ECZYT
ECBYO
EGLYO
EGCYO
EGCYH
EUROM
EMBYO
EUKYO
ETYAT
FINBN
FNSYO
IST30
GT30
GEDIK
GDKYO
GENYH
GENPWR
GLYHO
GLBMD
GSDHO
GSDDE
ISYHO
IEYHO
ISY30
ISYAT
ISMEN
ISUVT
KRDMA
KRDMB
KRDMD
KOZAA
KOZAL
GOLDP
SLVRP
MRGYO
MARTI
MUTLU
MUTGG
ISATR
ISBTR
ISCTR
ISKUR
