date,year,month,interest_rates_personal
2021-10-15,2021,10,23.35
2021-10-22,2021,10,23.35
2021-10-29,2021,10,23.28
2021-11-05,2021,11,23.5
2021-11-12,2021,11,23.42
2021-11-19,2021,11,23.27
2021-11-26,2021,11,23.57
2021-12-03,2021,12,24.52
2021-12-10,2021,12,25.26
2021-12-17,2021,12,25.18
2021-12-24,2021,12,28.21
2021-12-31,2021,12,29.55
2022-01-07,2022,1,31.69
2022-01-14,2022,1,32.2
2022-01-21,2022,1,31.42
2022-01-28,2022,1,31.5
2022-02-04,2022,2,30.74
2022-02-11,2022,2,30.56
2022-02-18,2022,2,29.24
2022-02-25,2022,2,28.92
2022-03-04,2022,3,28.9
2022-03-11,2022,3,28.99
2022-03-18,2022,3,29.2
2022-03-25,2022,3,28.54
2022-04-01,2022,4,28.04
2022-04-08,2022,4,27.91
2022-04-15,2022,4,27.21
2022-04-22,2022,4,27.3
2022-04-29,2022,4,28.2
2022-05-06,2022,5,28.38
2022-05-13,2022,5,28.09
2022-05-20,2022,5,28.47
2022-05-27,2022,5,29.51
2022-06-03,2022,6,30.32
2022-06-10,2022,6,30.65
2022-06-17,2022,6,31.82
2022-06-24,2022,6,30.66
2022-07-01,2022,7,32.91
2022-07-08,2022,7,34.15
2022-07-15,2022,7,35.41
2022-07-22,2022,7,34.11
2022-07-29,2022,7,34.32
2022-08-05,2022,8,34.45
2022-08-12,2022,8,34.38
2022-08-19,2022,8,34.25
2022-08-26,2022,8,33.92
2022-09-02,2022,9,33.47
2022-09-09,2022,9,32.41
2022-09-16,2022,9,32.38
2022-09-23,2022,9,32.08
2022-09-30,2022,9,31.65
2022-10-07,2022,10,31.77
2022-10-14,2022,10,31.73
2022-10-21,2022,10,31.35
2022-10-28,2022,10,30.88
2022-11-04,2022,11,30.38
2022-11-11,2022,11,30.86
2022-11-18,2022,11,30.72
2022-11-25,2022,11,30.75
2022-12-02,2022,12,30.75
