,ticker,firm,sector
728,DAGHL,DAGİ YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
729,DENGE,DENGE YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
730,DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
731,DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
732,ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,HOLDING AND INVESTMENT COMPANIES
733,ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,HOLDING AND INVESTMENT COMPANIES
734,EUHOL,EURO YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
735,GLYHO,GLOBAL YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
736,GSDHO,GSD HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
737,GLRYH,GÜLER YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
738,SAHOL,HACI ÖMER SABANCI HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
739,HEDEF,HEDEF HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
740,INVEO,INVEO YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
741,INVES,INVESTCO HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
742,IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
743,IHLAS,İHLAS HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
744,IHYAY,İHLAS YAYIN HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
745,ISBIR,İŞBİR HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
746,ITTFH,İTTİFAK HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
747,KERVN,KERVANSARAY YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
748,KLRHO,KİLER HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
749,KCHOL,KOÇ HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
750,MARKA,MARKA YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
751,MZHLD,MAZHAR ZORLU HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
752,METUR,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,HOLDING AND INVESTMENT COMPANIES
753,METRO,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
754,MMCAS,MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.,HOLDING AND INVESTMENT COMPANIES
755,NTHOL,NET HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
756,OSTIM,OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,HOLDING AND INVESTMENT COMPANIES
757,OTTO,OTTO HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
758,POLHO,POLİSAN HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
759,RALYH,RAL YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
760,TAVHL,TAV HAVALİMANLARI HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
761,TKFEN,TEKFEN HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
762,TRCAS,TURCAS PETROL A.Ş.,HOLDING AND INVESTMENT COMPANIES
763,SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,HOLDING AND INVESTMENT COMPANIES
764,UFUK,UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.,HOLDING AND INVESTMENT COMPANIES
765,UMPAS,UMPAŞ HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
766,UNLU,ÜNLÜ YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
767,VERUS,VERUSA HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
768,YESIL,YEŞİL YATIRIM HOLDİNG A.Ş.,HOLDING AND INVESTMENT COMPANIES
769,GEDIK,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
770,"GLB, GLBMD",GLOBAL MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
771,"INFO, IYF",İNFO YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
772,"ISMEN, IYM",İŞ YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
773,"OMD, OSMEN",OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
774,"OYA, OYYAT",OYAK YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
775,"TERA, TRA",TERA YATIRIM MENKUL DEĞERLER A.Ş.,BROKERAGE HOUSES
776,AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
777,AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
778,AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
779,ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
780,ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
781,AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
782,AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
783,BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
784,DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
785,DGGYO,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
786,EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
787,HLGYO,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
788,IDGYO,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
789,ISGYO,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
790,KZBGY,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
791,KLGYO,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
792,KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
793,KRGYO,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
794,MRGYO,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
795,MSGYO,MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
796,NUGYO,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
797,OZKGY,ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
798,OZGYO,ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
799,PAGYO,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
800,PSGYO,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
801,PEKGY,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
802,PEGYO,PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
803,RYGYO,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
804,SRVGY,SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
805,SNGYO,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
806,SEGYO,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
807,TRGYO,TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
808,TDGYO,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
809,TSGYO,TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
810,VKGYO,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
811,YGGYO,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
812,YGYO,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
813,ZRGYO,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REAL ESTATE INVESTMENT TRUSTS
814,ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
815,EUKYO,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
816,EUYO,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
817,ETYAT,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
818,GRNYO,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
819,ISYAT,İŞ YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
820,MTRYO,METRO YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
821,OYAYO,OYAK YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
822,VKFYO,VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,INVESTMENT TRUSTS
823,GOZDE,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
824,HDFGS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
825,HUBVC,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
826,ISGSY,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
827,PRDGS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
828,RHEAG,RHEA GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
829,VERTU,VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VENTURE CAPITAL INVESTMENT TRUSTS
830,BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
831,FENER,FENERBAHÇE FUTBOL A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
832,GSRAY,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
833,LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
834,MPARK,MLP SAĞLIK HİZMETLERİ A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
835,EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
836,TSPOR,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.,"EDUCATION, HEALTH, SPORTS AND OTHER SOCIAL SERVICES"
837,LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
838,MPARK,MLP SAĞLIK HİZMETLERİ A.Ş.,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
839,EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
840,BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,"SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
841,FENER,FENERBAHÇE FUTBOL A.Ş.,"SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
842,GSRAY,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,"SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
843,TSPOR,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.,"SPORTS ACTIVITIES, AMUSEMENT AND RECREATION ACTIVITIES"
844,ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,TECHNOLOGY
845,ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,TECHNOLOGY
846,ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
847,ARMDA,ARMADA BİLGİSAYAR SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
848,ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
849,ATATP,ATP TİCARİ BİLGİSAYAR AĞI VE ELEKTRİK GÜÇ KAYNAKLARI ÜRETİM PAZARLAMA VE TİCARET A.Ş.,TECHNOLOGY
850,AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,TECHNOLOGY
851,DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,TECHNOLOGY
852,DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,TECHNOLOGY
853,EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,TECHNOLOGY
854,ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,TECHNOLOGY
855,FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,TECHNOLOGY
856,HTTBT,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,TECHNOLOGY
857,INDES,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
858,KFEIN,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,TECHNOLOGY
859,KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
860,KRONT,KRON TEKNOLOJİ A.Ş.,TECHNOLOGY
861,LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
862,LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
863,MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
864,MTRKS,MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.,TECHNOLOGY
865,MIATK,MİA TEKNOLOJİ A.Ş.,TECHNOLOGY
866,MOBTL,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
867,NETAS,NETAŞ TELEKOMÜNİKASYON A.Ş.,TECHNOLOGY
868,OBASE,OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,TECHNOLOGY
869,PAPIL,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,TECHNOLOGY
870,PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,TECHNOLOGY
871,PKART,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,TECHNOLOGY
872,SMART,SMARTİKS YAZILIM A.Ş.,TECHNOLOGY
873,VBTYZ,VBT YAZILIM A.Ş.,TECHNOLOGY
874,ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,INFORMATION TECHNOLOGY
875,ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,INFORMATION TECHNOLOGY
876,ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
877,ARMDA,ARMADA BİLGİSAYAR SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
878,ATATP,ATP TİCARİ BİLGİSAYAR AĞI VE ELEKTRİK GÜÇ KAYNAKLARI ÜRETİM PAZARLAMA VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
879,AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,INFORMATION TECHNOLOGY
880,DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,INFORMATION TECHNOLOGY
881,DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
882,EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,INFORMATION TECHNOLOGY
883,ESCOM,ESCORT TEKNOLOJİ YATIRIM A.Ş.,INFORMATION TECHNOLOGY
884,FONET,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,INFORMATION TECHNOLOGY
885,HTTBT,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,INFORMATION TECHNOLOGY
886,INDES,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
887,KFEIN,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,INFORMATION TECHNOLOGY
888,KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
889,KRONT,KRON TEKNOLOJİ A.Ş.,INFORMATION TECHNOLOGY
890,LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
891,LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
892,MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
893,MTRKS,MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.,INFORMATION TECHNOLOGY
894,MIATK,MİA TEKNOLOJİ A.Ş.,INFORMATION TECHNOLOGY
895,MOBTL,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
896,NETAS,NETAŞ TELEKOMÜNİKASYON A.Ş.,INFORMATION TECHNOLOGY
897,OBASE,OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,INFORMATION TECHNOLOGY
898,PAPIL,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
899,PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,INFORMATION TECHNOLOGY
900,PKART,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,INFORMATION TECHNOLOGY
901,SMART,SMARTİKS YAZILIM A.Ş.,INFORMATION TECHNOLOGY
902,VBTYZ,VBT YAZILIM A.Ş.,INFORMATION TECHNOLOGY
903,ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,DEFENSE
904,IDEAS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
905,KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
906,PCILT,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
907,YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
908,IDEAS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,LEGAL AND ACCOUNTING ACTIVITIES
909,KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS
910,YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS
911,CEOEM,CEO EVENT MEDYA A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
912,ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
913,FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
914,GZNMI,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
915,LIDER,LDR TURİZM A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
916,PLTUR,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
917,SNKRN,SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
918,ESCAR,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,RENTAL AND LEASING ACTIVITIES
919,LIDER,LDR TURİZM A.Ş.,RENTAL AND LEASING ACTIVITIES
920,PLTUR,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,RENTAL AND LEASING ACTIVITIES
921,CEOEM,CEO EVENT MEDYA A.Ş.,"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
922,FLAP,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES"
923,ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,REAL ESTATE ACTIVITIES
924,IHLGM,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,REAL ESTATE ACTIVITIES
925,SONME,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,REAL ESTATE ACTIVITIES
926,ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,REAL ESTATE ACTIVITIES
927,IHLGM,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,REAL ESTATE ACTIVITIES
928,SONME,SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,REAL ESTATE ACTIVITIES
929,AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,HOTELS AND RESTAURANTS
930,AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,HOTELS AND RESTAURANTS
931,DOCO,DO & CO AKTIENGESELLSCHAFT,HOTELS AND RESTAURANTS
932,ETILR,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,HOTELS AND RESTAURANTS
933,KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİ A.Ş.,HOTELS AND RESTAURANTS
934,MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,HOTELS AND RESTAURANTS
935,MARTI,MARTI OTEL İŞLETMELERİ A.Ş.,HOTELS AND RESTAURANTS
936,MERIT,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,HOTELS AND RESTAURANTS
937,PKENT,PETROKENT TURİZM A.Ş.,HOTELS AND RESTAURANTS
938,TEKTU,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,HOTELS AND RESTAURANTS
939,ULAS,ULAŞLAR TURİZM YATIRIMLARI VE DAYANIKLI TÜKETİM MALLARI TİCARET PAZARLAMA A.Ş.,HOTELS AND RESTAURANTS
940,AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,ACCOMODATION
941,AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,ACCOMODATION
942,KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİ A.Ş.,ACCOMODATION
943,MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,ACCOMODATION
944,MARTI,MARTI OTEL İŞLETMELERİ A.Ş.,ACCOMODATION
945,MERIT,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,ACCOMODATION
946,PKENT,PETROKENT TURİZM A.Ş.,ACCOMODATION
947,TEKTU,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,ACCOMODATION
